,y,U_0,U_1,U_2,U_mag,U_mag_mm_per_s,y_um,Relative Error
0,-5e-05,0.0,0.0,0.0,0.0,0.0,-50.0,0.0
1,-4.97996e-05,1.19847e-05,2.86994e-12,1.30587e-28,1.1984700000000345e-05,0.011984700000000344,-49.7996,1.013593599999881e-05
2,-4.95992e-05,2.39695e-05,5.73988e-12,2.61174e-28,2.396950000000069e-05,0.023969500000000688,-49.599199999999996,-1.1922922666938082e-05
3,-4.93988e-05,3.59542e-05,8.60983e-12,3.9176100000000002e-28,3.595420000000103e-05,0.03595420000000103,-49.3988,-6.604324266721213e-05
4,-4.91984e-05,4.79389e-05,1.14798e-11,5.22348e-28,4.793890000000138e-05,0.04793890000000138,-49.1984,-0.00015229169066748502
5,-4.8998e-05,5.99237e-05,1.43497e-11,6.529350000000001e-28,5.992370000000172e-05,0.05992370000000172,-48.998,-0.00027073493333442295
6,-4.87976e-05,7.19084e-05,1.72197e-11,7.8352200000000005e-28,7.190840000000206e-05,0.07190840000000207,-48.7976,-0.0004212396373346842
7,-4.85972e-05,8.38931e-05,2.00896e-11,9.141090000000001e-28,8.389310000000241e-05,0.08389310000000241,-48.5972,-0.0006038724693349651
8,-4.83968e-05,9.58779e-05,2.29595e-11,1.0447000000000001e-27,9.587790000000275e-05,0.09587790000000275,-48.3968,-0.0008187000960016289
9,-4.81964e-05,0.000107551,8.35641e-12,-2.5251599999999998e-27,0.00010755100000000033,0.10755100000000033,-48.1964,-0.0008578558506667314
10,-4.7996e-05,0.000119197,-7.75187e-12,-6.4137799999999995e-27,0.00011919700000000025,0.11919700000000025,-47.996,-0.0009110730666667214
11,-4.77956e-05,0.000130844,-2.38601e-11,-1.03024e-26,0.00013084400000000216,0.13084400000000215,-47.7956,-0.0009970850773346844
12,-4.75952e-05,0.00014249,-3.99684e-11,-1.4191e-26,0.0001424900000000056,0.1424900000000056,-47.5952,-0.0011145585493370265
13,-4.73948e-05,0.000154137,-5.60767e-11,-1.80796e-26,0.00015413700000001018,0.15413700000001018,-47.394800000000004,-0.0012648268160067773
14,-4.71944e-05,0.000165783,-7.2185e-11,-2.19683e-26,0.00016578300000001572,0.16578300000001572,-47.1944,-0.0014465565440105281
15,-4.6994e-05,0.000177429,-8.82932e-11,-2.58569e-26,0.00017742900000002195,0.17742900000002196,-46.994,-0.001660414400014465
16,-4.67936e-05,0.000189076,-1.04402e-10,-2.97455e-26,0.0001890760000000288,0.1890760000000288,-46.7936,-0.0019070670506857363
17,-4.65932e-05,0.000200014,-1.19533e-10,-3.3397400000000004e-26,0.0002000140000000357,0.20001400000003572,-46.5932,-0.0017131811626903877
18,-4.63928e-05,0.00021082,-1.34477e-10,-3.70055e-26,0.00021082000000004287,0.21082000000004286,-46.3928,-0.0014634234026951742
19,-4.61924e-05,0.000221625,-1.49422e-10,-4.06135e-26,0.00022162500000005037,0.22162500000005037,-46.1924,-0.0012451271040335536
20,-4.5992e-05,0.00023243,-1.64366e-10,-4.42216e-26,0.0002324300000000581,0.23243000000005812,-45.992000000000004,-0.001058958933372119
21,-4.57916e-05,0.000243235,-1.79311e-10,-4.78296e-26,0.0002432350000000661,0.2432350000000661,-45.791599999999995,-0.0009049188907105562
22,-4.55912e-05,0.00025404,-1.94255e-10,-5.14377e-26,0.00025404000000007424,0.25404000000007426,-45.5912,-0.000783006976049346
23,-4.53908e-05,0.000264846,-2.09199e-10,-5.50458e-26,0.0002648460000000826,0.2648460000000826,-45.3908,-0.0006938898560549708
24,-4.51904e-05,0.000275651,-2.24144e-10,-5.86538e-26,0.00027565100000009115,0.27565100000009113,-45.1904,-0.0006362341973940033
25,-4.499e-05,0.00028647,-2.35597e-10,-6.206370000000001e-26,0.00028647000000009686,0.28647000000009687,-44.99,-0.0006200400000645478
26,-4.47896e-05,0.00029746,-2.03014e-10,-6.29741e-26,0.00029746000000006927,0.2974600000000693,-44.7896,-0.000749973930712855
27,-4.45892e-05,0.000308449,-1.70431e-10,-6.388440000000001e-26,0.0003084490000000471,0.3084490000000471,-44.589200000000005,-0.0009113693226981227
28,-4.43888e-05,0.000319439,-1.37848e-10,-6.47947e-26,0.00031943900000002974,0.3194390000000297,-44.388799999999996,-0.0011055595093529824
29,-4.41884e-05,0.000330429,-1.05265e-10,-6.5705e-26,0.00033042900000001673,0.33042900000001674,-44.1884,-0.0013318778240110445
30,-4.3988e-05,0.000341419,-7.26818e-11,-6.66154e-26,0.00034141900000000773,0.34141900000000774,-43.988,-0.0015903242666717166
31,-4.37876e-05,0.000352408,-4.00987e-11,-6.75257e-26,0.0003524080000000023,0.3524080000000023,-43.7876,-0.001880232170668128
32,-4.35872e-05,0.000363398,-7.51564e-12,-6.8436e-26,0.0003633980000000001,0.36339800000000005,-43.5872,-0.002202934869333354
33,-4.33868e-05,0.000374388,2.50674e-11,-6.93463e-26,0.0003743880000000009,0.3743880000000009,-43.3868,-0.0025577656960005988
34,-4.31864e-05,0.000385019,5.65808e-11,-7.02184e-26,0.0003850190000000042,0.38501900000000416,-43.1864,-0.0027053913173359736
35,-4.2986e-05,0.000394835,8.56844e-11,-7.103180000000001e-26,0.0003948350000000093,0.39483500000000926,-42.986,-0.0023418117333393975
36,-4.27856e-05,0.000404652,1.14788e-10,-7.18451e-26,0.0004046520000000163,0.4046520000000163,-42.7856,-0.002011026944010711
